gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Miriam,Lane,7994,Railroad St,Tamworth,Tasmania,Australia,4266,-86.1080,91.7131,+9:30,"Adelaide, Darwin",miriam.lane@example.com,b81ecadb-980c-4af6-baa5-e116a565683b,goldentiger183,oicu812,HaVP9AnQ,e76b09e7873ccaf183c5b0d51d7ebea5,1408498cf85b50ec0c7d8e1ec6e7fc4f5fe259a6,a663ee47f06b304f76438f91150c595286bcef47469f05dd313de53710ebb502,1950-10-25T01:20:28.828Z,73,2010-08-24T16:24:10.865Z,14,03-3345-2734,0458-434-715,TFN,613129487,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,AU
male,Mr,Magnus,Rasmussen,9650,Vægterparken,Haslev,Sjælland,Denmark,68442,-18.0928,-8.8719,+6:00,"Almaty, Dhaka, Colombo",magnus.rasmussen@example.com,9e667b39-a151-44f7-9c64-28dcff4aa891,lazysnake122,woofer,GJe0A1gC,7676b7c17d6d3bec83e02904875fe714,28ee463a1561b028caf44a9bef083eade77e95b8,29afb4448b770105f089bc325777858926e7ee76b2f193e4dcf2714e70b15f52,1983-08-01T20:53:31.419Z,41,2018-01-07T10:31:39.278Z,6,10683030,83643822,CPR,010883-4387,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,DK
female,Mrs,Ava,Parker,9511,Springfield Road,Thurles,Wicklow,Ireland,64055,87.4192,-24.9003,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",ava.parker@example.com,d17f8d0a-c820-4bd5-850c-5a65d3375dc7,purplekoala274,garbage,Gb7MLtp6,5e8886b97abded0a7ddc1a7ba5e7cc9c,fd82d2a5b60cce7b1a5ac97d554ea77c7a361956,e682f3e91a170dce6b8d93c6e7b5704e8be9e81879ae088e4c55260093890c33,1961-11-18T02:32:01.125Z,62,2011-05-18T09:52:32.895Z,13,071-760-9405,081-826-9767,PPS,5351023T,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,IE
female,Ms,Gabija,Bøen,6825,Axel Brinchs vei,Judaberg,Oppland,Norway,0985,44.0476,-136.0424,+1:00,"Brussels, Copenhagen, Madrid, Paris",gabija.boen@example.com,ba9fcef9-80f9-4944-a6a7-3479ec90e709,crazyostrich719,sailor,f4Cu22Cw,afe5d6e8729e5835a7774837550c7600,976e51183a1cc6518fc7f700f58da88a46f690a5,186891b18be7a4c975a84d7edf4ab348e5282570e681c5156fd620991c21034f,1955-12-04T00:21:23.723Z,68,2011-11-22T06:42:42.064Z,12,77426733,45614795,FN,04125524805,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,NO
female,Miss,Sofia,Marshall,7717,The Crescent,Tuam,Dublin City,Ireland,14431,69.2111,-81.5179,+10:00,"Eastern Australia, Guam, Vladivostok",sofia.marshall@example.com,afb9c958-2136-4ba5-9b7a-05821e75dd75,orangeduck989,jumbo,cwYijZGO,0d82a17f38a9c43929fdd379e8ba1524,2ead4f83e510fbfd22bfc74adefdb01897fc934b,a7da830f6c789c200d72f8e1bbf25199d6d13d193a4c81937bf58fc45ae41642,1963-11-05T07:34:24.956Z,60,2019-05-16T16:42:18.563Z,5,041-712-9090,081-605-8648,PPS,7193544T,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,IE
female,Madame,Fabienne,Colin,3814,Rue de L'Église,Unterägeri,Zug,Switzerland,6332,49.2355,-83.4763,+7:00,"Bangkok, Hanoi, Jakarta",fabienne.colin@example.com,ab370cc6-4ab5-4658-916c-e9818fe81fcd,lazyfish522,stone,bhfo8iZY,64bde9c2bbc1f01412d03b8567dbe8f9,bdade49e81d7c344152c04ba294a729572199888,a1a800ea8f39465a726df40dfa602dbb16f8aec3cd09997f124f76a6df2b0295,1954-02-28T09:19:57.823Z,70,2006-11-29T09:31:36.504Z,17,075 512 80 23,075 115 53 78,AVS,756.4021.0214.66,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,CH
female,Madame,Virginia,Rey,4062,Avenue Debourg,Steg-Hohtenn,Obwalden,Switzerland,6259,76.5375,-101.2108,-7:00,Mountain Time (US & Canada),virginia.rey@example.com,005c22d8-a783-4f5d-a8c2-3e0f0a09c97d,bluemeercat927,francois,wYjbeaoy,e1801d64b7a803f43dd435b2f9046337,84a848f952ff167b823121400e3dcb02473556ea,b8567bf030149a3645710a8b83a43c5351d8205b0e6874badad33ebb0b1f3330,1990-05-16T13:51:03.213Z,34,2011-06-05T23:08:04.863Z,13,077 146 45 21,077 172 28 02,AVS,756.6273.8143.74,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,CH
male,Mr,Kasper,Olsen,7571,Præstegårdsvej,Øster Assels,Sjælland,Denmark,50885,45.6209,-141.9498,0:00,"Western Europe Time, London, Lisbon, Casablanca",kasper.olsen@example.com,e58762b5-24d6-49ef-b021-3f2ddd747235,tinyduck864,deacon,putIMNE2,33f52f0c6f5c4a0c94e3c3deef197a2e,05a4005f3bdd26b269ca44010a1df8d6493bb786,fae1081129afe58ba0de13e37cf305df760050508a97786a83efd9c2bb7e1970,1971-11-06T10:53:11.352Z,52,2002-07-21T21:36:37.713Z,22,97128217,74276718,CPR,061171-0433,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,DK
female,Ms,Elly,Mey,8706,Am Sportplatz,Miltenberg,Mecklenburg-Vorpommern,Germany,44147,4.4072,33.3123,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",elly.mey@example.com,1823c035-2218-486c-9703-30417aa2ffd4,tinyfish556,llllll,JPlsoDex,54bb7829909bd4cb926e4697246b2458,5b99bcfc496daab96ee57b225693c5403a8e67aa,7ff547acd557e6ca15e7a22a3e18b06c8e1bfa69aae6e529299b7f87b15e1134,1955-11-20T17:32:01.484Z,68,2018-12-13T08:27:16.325Z,5,0191-6622184,0172-5480184,SVNR,02 201155 M 754,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,DE
male,Mr,Lucas,Grewal,4661,Pierre Ave,Red Rock,Yukon,Canada,F1Z 6D0,-57.7499,-33.7546,-12:00,"Eniwetok, Kwajalein",lucas.grewal@example.com,0d885d20-1036-4539-ac7b-c9927a784382,happyzebra652,yosemite,6rZhwQEU,5fc2aaff3f23f476d166af66c5b6e826,0defdd1a8e56a1dd4d8076f398b11a42801afb4c,d8178c1e12d1854367eca12dba10b576d754997cd385bbe0f30277e12d24aacc,1962-12-13T16:28:49.869Z,61,2016-06-11T18:46:34.455Z,8,D92 V33-4175,M08 P33-6917,SIN,302364401,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,CA
